Lyricist_en,Lyricist_sn,Composer_en,Composer_sn,Singer_en,Singer_sn
Bandula Nanayakkarawasam,බන්දුල නානායක්කාරවස​ම්,Rohana Weerasinghe,රෝහණ වීරසිං​හ,Sunil Edirisinghe,සුනිල් එදිරිසිං​හ
Kularathna Ariyawansha,කුලරත්න ආරියවං​ශ,Premasiri Kemadasa,ප්‍රේමසිරි කේමදා​ස,WD Amaradeva,ඩබ් ඩී අමරදේ​ව
Parakrama Kodithuwakku,පරාක්‍රම කොඩිතුවක්​කු,HM Jayawardena,එච් එම් ජයවර්ධ​න,Chandralekha Perera,චන්ද්රලේකා පෙරේ​රා
Sunil Ariyarathne,සුනිල් ආරියර​ත්​න,Manori Uggalage,මනෝරි උග්ගල​ගේ,Edward Jayakody,එඩ්වඩ් ජයකො​ඩි
Bandara Aheliyagoda,බණ්ඩාර ඇහැලියගො​ඩ,Tharindu Damsara,තරිදු දම්ස​ර,Amarasiri Peiris,අමරසිරි පීරි​ස්
Premakeerthi Alwis,ප්‍රේමකීර්ති අල්වි​ස්,,,Karunarathna Diwulgane,කරුණාරත්න දිවුල්ග​නේ
Kumaradasa Saputhanthree,කුමාරදාස සපුතන්​ත්‍රී,,,Chandana Liyanaarachchi,චන්දන ලියනාරච්චි
S Mahinda Himi,කුලරත්න ආරියවංශ,,,Tharindu Damsara,තරිදු දම්ස​ර
Rathna Shree Wijesinghe,එස් මහින්ද හි​මි,,,Kanchana Anuradhi,කාංචනා අනුරා​ධි
Sunil Gamage,රත්න ශ්‍රී විජේසිංහ,,,Tharindu Damsara ,මනුල නිපු​න්
Mahinda Chandrasekara,සුනිල් ආරියරත්න,,,Manula Nipun,සොනාලි පෙරේ​රා
Ashoka Kovilage,බන්දුල නානායක්කාරවසම්,,,Sonali Perera,නන්දා මාලි​නී
Kiramba Sumangala himi,සුනිල් ගමගේ,,,Nanda Malini,වික්ටර් රත්නායක
Kalo Fonseka,මහින්ද චන්ද්රසේකර,,,Victor Rathnayaka,ටී එම් ජයරත්න
Ananda Amarasiri,අශෝක කෝවිලගේ,,,TM Jayarathne,මාලනී බුලත්සිංහල
Mahagama Sekara,සුනිල් ගම​ගේ,,,Malani Bulathsinhala,දීපිකා ප්‍රියදර්ශනී
Wijaya Ramanayake,කිරඹ සුමංගල හිමි,,,Deepika Priyadarshanee,නිරෝශා විරාජිනී
Bodhi Amarasinghe,කාලෝ ෆොන්සේකා,,,Nirosha Wirajini,නීලා වික්‍රමසිංහ
Kusum Peiris,ආනන්ද අමරසිරි,,,Neela Wickramasinghe,කමල් අද්දරආරච්​චි
Ajantha Ranasinghe,මහගම සේකර,,,Kamal Addaraarachchi,ප්‍රදීපා ධර්මදාස
Wasantha Kumara,විජය රාමනායක,,,Pradeepa Darmadasa,උරේශා රවිහාරි
Amarasena Kankanamage,බෝධි අමරසිංහ,,,Uresha Ravihari,අබේවර්ධන බාලසූරිය
Ranbanda Senevirathne,කුසුම් පීරිස්,,,Abeywardena Balasooriya,ඇන්ජලීන් ගුණතිලක
Samantha Herath,අජන්තා රණසිංහ,,,Anjalin Gunathilake,බණ්ඩාර අතාවුද
Rambukkana Siddartha Himi,වසන්ත කුමාර,,,Bandara Athawuda,
Anil Rathnaweera,අමරසේන කන්කානම්ගේ,,,,
Sudath Bandara,රන්බන්ඩා සෙනෙවිරත්න,,,,
Wipul Jayasekara,සමන්ත හේරත්,,,,
Yamuna Malini Perera,රඹුක්කන සිද්ධාර්ත හිමි,,,,
Ruhunuketha Dhammadewa Himi,අනිල් රත්නවීර,,,,
Ruhunuketha Dhammadewa thero,සුදත් බණ්ඩා​ර,,,,
Hiran Chathuranga ,විපුල් ජයසේකර,,,,
Ruhunuketha Dhammadewa Thero,යමුනා මාලිනී පෙරේරා,,,,
Shalika Disanayaka,රුහුණුකෙත ධම්මදේව හිමි,,,,
Vinodi Perera,හිරාන් චතුරංග,,,,
Darmasiri Gamage,ශාලිකා දිසානායක,,,,
Somarathna Disanayake,විනෝදි පෙරේරා,,,,
Buddadasa Galappaththi,ධර්මසිරි ගමගේ,,,,
Malani Jayarathne,බණ්ඩාර ඇහැලියගොඩ,,,,
Gamini Wijethunga,සෝමරත්න දිසානාය​ක,,,,
Kemilas Perera,බුද්ධදාස ගලප්පත්​ති,,,,
Lushan Bulathsinhala,මාලනී ජයරත්න,,,,
Upul Shantha Sannasgala,ගාමිණී විජේතුංග,,,,
Camilas Perera,කැමිලස් පෙරේරා,,,,
Kapila Kumara Kalinga,රඹුක්කන සිද්ධාර්ත හි​මි,,,,
,ලූශන් බුලත්සිංහල,,,,
,උපුල් ශාන්ත සන්නස්ගල,,,,
,කපිල කුමාර කාලිංග,,,,
,ප්‍රේමකීර්ති අල්විස්,,,,
